coche_datos_generales,coche_datos_tecnicos,coche_equipamiento,coche_nombre
"Gasolina,22351 km,70 kW (95 CV, 160 Nm),Blanco ,02-2019,5,Barcelona ,Cambio manual,12 meses,5 puertas,Combinado 4.8 l","1.459 mm,1.706 mm,4.304 mm,1.380 litros,2.602 mm,1.065 Kg,1.625 Kg,5 Puertas,55 litros,-,-,109 gr/km,4,2 l/100km,6,0 l/100km,4,8 l/100km,3, En Línea,999 cm3,70 kw (95 cv),160 Nm,EU6.2 (C and D-Temp),Cambio manual,Delantero,185/60 R15 H,185/60 R15 H",,
"Diésel,80000 km,110 kW (150 CV, 340 Nm),Negro ,03-2018,Negro,9, ,Cambio automático,12 meses,4 puertas,Combinado 6.1 l","1.990 mm,1.904 mm,4.904 mm,-,3.000 mm,2.152 Kg,3.080 Kg,4 Puertas,70 litros,181 km/h,-,158 gr/km,5,6 l/100km,6,8 l/100km,6,1 l/100km,4, En Línea,1.968 cm3,110 kw (150 cv),340 Nm,EU6,Cambio automático,Delantero,215/65 R16 T,215/65 R16 T",,
"Diésel,111000 km,140 kW (190 CV, 400 Nm),Negro ,02-2016,Negro,5, ,Cambio automático,12 meses,5 puertas,Combinado 5.7 l","1.655 mm,1.898 mm,4.629 mm,1.560 litros,2.807 mm,1.935 Kg,2.470 Kg,5 Puertas,75 litros,210 km/h,8,4 segundos,154 gr/km,5,3 l/100km,6,4 l/100km,5,7 l/100km,4, En Línea,1.968 cm3,140 kw (190 cv),400 Nm,EU6,Cambio automático,4X4,235/55 R19 W,235/55 R19 W",,
"Gasolina,98625 km,54 kW (75 CV, 118 Nm),Rojo ,01-2008,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 6.3 l","1.472 mm,1.972 mm,4.030 mm,923 litros,2.540 mm,1.213 Kg,1.620 Kg,5 Puertas,50 litros,170 km/h,13,9 segundos,150 gr/km,5,0 l/100km,8,4 l/100km,6,3 l/100km,4, En Línea,1.360 cm3,54 kw (75 cv),118 Nm,EU4,Cambio manual,Delantero,185/65  T,185/65  T",,
"Diésel,123700 km,110 kW (150 CV, 380 Nm),Negro ,11-2015,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 4.1 l","1.450 mm,1.795 mm,4.465 mm,1.263 litros,2.700 mm,1.395 Kg,1.910 Kg,5 Puertas,51 litros,210 km/h,8,1 segundos,107 gr/km,3,6 l/100km,4,9 l/100km,4,1 l/100km,4, En Línea,2.191 cm3,110 kw (150 cv),380 Nm,EU6,Cambio manual,Delantero,205/60 R16 V,205/60 R16 V",,
"Gasolina,67998 km,85 kW (115 CV, 190 Nm),Granate ,11-2015,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 5.7 l","1.565 mm,1.765 mm,4.135 mm,1.189 litros,2.530 mm,1.236 Kg,1.710 Kg,5 Puertas,46 litros,178 km/h,10,8 segundos,128 gr/km,4,9 l/100km,7,1 l/100km,5,7 l/100km,4, En Línea,1.197 cm3,85 kw (115 cv),190 Nm,EU6,Cambio manual,Delantero,215/55 R17 V,215/55 R17 V",,
"Gasolina,27329 km,135 kW (184 CV, 300 Nm),Gris Plata ,04-2019,Negro,5,Madrid ,Cambio automático,24 meses,4 puertas,Combinado 5.7 l","1.435 mm,1.827 mm,4.709 mm,-,2.851 mm,1.525 Kg,2.050 Kg,4 Puertas,59 litros,240 km/h,7,1 segundos,126 gr/km,4,8 l/100km,6,8 l/100km,5,5 l/100km,4, En Línea,1.998 cm3,135 kw (184 cv),300 Nm,EU6.2 (C and D-Temp),Cambio automático,Trasero,205/60 R16 W,205/60 R16 W",,
"Gasolina,110567 km,86 kW (117 CV, 160 Nm),Beige ,10-2005,Beige,5,Valencia ,Cambio manual,12 meses,5 puertas,Combinado 7.7 l","1.637 mm,1.751 mm,4.276 mm,2.128 litros,2.760 mm,1.245 Kg,1.795 Kg,5 Puertas,55 litros,190 km/h,10,8 segundos,184 gr/km,6,0 l/100km,10,7 l/100km,7,7 l/100km,4, En Línea,1.749 cm3,86 kw (117 cv),160 Nm,EU3,Cambio manual,Delantero,185/65  H,185/65  H",,
"Diésel,140200 km,165 kW (225 CV, 470 Nm),Gris ,07-2015,Negro,7,Madrid ,Cambio automático,12 meses,5 puertas,Combinado 5.8 l","1.776 mm,2.008 mm,4.950 mm,1.868 litros,2.984 mm,2.028 Kg,2.750 Kg,5 Puertas,71 litros,220 km/h,7,8 segundos,152 gr/km,5,5 l/100km,6,4 l/100km,5,8 l/100km,4, En Línea,1.969 cm3,165 kw (225 cv),470 Nm,EU6,Cambio automático,4X4,235/55 R19 V,235/55 R19 V",,
"Gasolina,126883 km,125 kW (170 CV, 210 Nm),Gris Plata ,09-2007,Negro,4,Alicante ,Cambio automático,12 meses,2 puertas,Combinado 6.3 l","1.395 mm,1.782 mm,4.580 mm,-,2.760 mm,1.435 Kg,1.810 Kg,2 Puertas,63 litros,230 km/h,8,1 segundos,151 gr/km,4,9 l/100km,8,7 l/100km,6,3 l/100km,4, En Línea,1.995 cm3,125 kw (170 cv),210 Nm,EU4,Cambio automático,Trasero,225/45  V,225/45  V",,
